cluster_label	auto_label	anchor_shape	anchor_margin	anchor_focus	n_sig_domains	top_auc	top_q	top_pooled_rg	top_coherence	profile	z_threshold	label_stable
C5_sub1	Cardiovascular	focal	0.094	3.71	4	0.731	0.00333166749958354	0.305	1	Cardiovascular (AUC=0.73 q=3.3e-03 rg=0.30 coh=1.00 n=55); Musculoskeletal (AUC=0.64 q=3.3e-03 rg=0.23 coh=0.99 n=93); Endocrine-metabolic (AUC=0.68 q=1.0e-02 rg=0.32 coh=0.99 n=28); Respiratory (AUC=0.61 q=1.8e-02 rg=0.22 coh=1.00 n=51); Infectious (AUC=0.70 q=1.6e-01 rg=0.31 coh=1.00 n=5); Medication-use (AUC=0.65 q=2.1e-01 rg=0.30 coh=1.00 n=7); Neurological (AUC=0.55 q=3.8e-01 rg=0.25 coh=0.95 n=31); Psychiatric (AUC=0.51 q=8.4e-01 rg=0.18 coh=0.89 n=51)	4	False
C6_sub0	Respiratory	focal	0.072	1.94	2	0.749	0.00499750124937531	0.463	1	Respiratory (AUC=0.75 q=5.0e-03 rg=0.46 coh=1.00 n=51); Musculoskeletal (AUC=0.68 q=5.0e-03 rg=0.38 coh=1.00 n=93); Psychiatric (AUC=0.60 q=8.5e-02 rg=0.39 coh=0.98 n=51); Medication-use (AUC=0.71 q=1.4e-01 rg=0.45 coh=1.00 n=7); Infectious (AUC=0.70 q=1.9e-01 rg=0.46 coh=1.00 n=5); Endocrine-metabolic (AUC=0.59 q=1.9e-01 rg=0.37 coh=1.00 n=28); Cardiovascular (AUC=0.55 q=2.5e-01 rg=0.30 coh=1.00 n=55); Neurological (AUC=0.55 q=4.0e-01 rg=0.35 coh=0.96 n=31)	4	True
C6_sub1	Psychiatric	sharp	0.205	2.28	3	0.819	0.00999500249875062	0.423	1	Psychiatric (AUC=0.82 q=1.0e-02 rg=0.42 coh=1.00 n=51); Musculoskeletal (AUC=0.61 q=1.0e-02 rg=0.20 coh=1.00 n=93); Respiratory (AUC=0.60 q=3.2e-02 rg=0.22 coh=1.00 n=51); Alcohol-substance (AUC=0.81 q=7.2e-02 rg=0.36 coh=1.00 n=4); Digestive (AUC=0.57 q=1.1e-01 rg=0.18 coh=1.00 n=60); Medication-use (AUC=0.58 q=5.2e-01 rg=0.21 coh=1.00 n=7); Endocrine-metabolic (AUC=0.54 q=5.2e-01 rg=0.17 coh=0.99 n=28); Neurological (AUC=0.54 q=5.2e-01 rg=0.22 coh=0.97 n=31)	4	True
noise_re0	Cardiovascular	focal	0.064	2.75	3	0.79	0.00333166749958354	0.342	1	Cardiovascular (AUC=0.79 q=3.3e-03 rg=0.34 coh=1.00 n=55); Endocrine-metabolic (AUC=0.73 q=3.3e-03 rg=0.32 coh=1.00 n=28); Musculoskeletal (AUC=0.63 q=3.3e-03 rg=0.18 coh=0.98 n=93); Respiratory (AUC=0.60 q=6.2e-02 rg=0.19 coh=1.00 n=51); Medication-use (AUC=0.66 q=2.3e-01 rg=0.23 coh=1.00 n=7); Infectious (AUC=0.66 q=2.9e-01 rg=0.24 coh=1.00 n=5); Immune-blood (AUC=0.55 q=6.9e-01 rg=0.18 coh=1.00 n=9); Neurological (AUC=0.50 q=9.1e-01 rg=0.21 coh=0.98 n=31)	4	False
noise_re1	ambiguous	focal	0.004	2	2	0.72	0.00499750124937531	0.435	1	Respiratory (AUC=0.72 q=5.0e-03 rg=0.44 coh=1.00 n=51); Musculoskeletal (AUC=0.72 q=5.0e-03 rg=0.43 coh=1.00 n=93); Medication-use (AUC=0.69 q=2.0e-01 rg=0.41 coh=1.00 n=7); Psychiatric (AUC=0.56 q=2.7e-01 rg=0.40 coh=0.96 n=51); Neurological (AUC=0.57 q=2.9e-01 rg=0.40 coh=0.98 n=31); Infectious (AUC=0.66 q=3.4e-01 rg=0.41 coh=1.00 n=5); Alcohol-substance (AUC=0.53 q=9.8e-01 rg=0.40 coh=1.00 n=4); Endocrine-metabolic (AUC=0.50 q=9.8e-01 rg=0.31 coh=1.00 n=28)	4	False
noise_re2	Psychiatric	focal	0.023	3	3	0.773	0.00333166749958354	0.274	1	Psychiatric (AUC=0.77 q=3.3e-03 rg=0.27 coh=1.00 n=51); Respiratory (AUC=0.75 q=3.3e-03 rg=0.22 coh=0.99 n=51); Medication-use (AUC=0.76 q=3.7e-02 rg=0.20 coh=1.00 n=7); Infectious (AUC=0.75 q=9.3e-02 rg=0.22 coh=1.00 n=5); Musculoskeletal (AUC=0.56 q=9.3e-02 rg=0.17 coh=0.98 n=93); Alcohol-substance (AUC=0.72 q=2.3e-01 rg=0.32 coh=1.00 n=4); Immune-blood (AUC=0.51 q=1.0e+00 rg=0.14 coh=0.91 n=9); Otologic (AUC=0.50 q=1.0e+00 rg=0.16 coh=0.93 n=16)	4	False
noise_re3	ambiguous	focal	0.033	1.99	2	0.719	0.00499750124937531	0.296	0.999	Musculoskeletal (AUC=0.72 q=5.0e-03 rg=0.30 coh=1.00 n=93); Respiratory (AUC=0.69 q=5.0e-03 rg=0.28 coh=1.00 n=51); Infectious (AUC=0.77 q=1.3e-01 rg=0.35 coh=1.00 n=5); Cardiovascular (AUC=0.57 q=2.0e-01 rg=0.21 coh=1.00 n=55); Medication-use (AUC=0.64 q=3.1e-01 rg=0.29 coh=1.00 n=7); Alcohol-substance (AUC=0.59 q=6.8e-01 rg=0.27 coh=1.00 n=4); Endocrine-metabolic (AUC=0.52 q=7.4e-01 rg=0.23 coh=0.99 n=28); Neurological (AUC=0.51 q=7.8e-01 rg=0.21 coh=0.83 n=31)	4	False
noise_re4	Respiratory	sharp	0.153	2.5	3	0.86	0.00333166749958354	0.376	1	Respiratory (AUC=0.86 q=3.3e-03 rg=0.38 coh=1.00 n=51); Psychiatric (AUC=0.71 q=3.3e-03 rg=0.30 coh=1.00 n=51); Musculoskeletal (AUC=0.61 q=3.3e-03 rg=0.21 coh=1.00 n=93); Infectious (AUC=0.70 q=2.1e-01 rg=0.28 coh=1.00 n=5); Neurological (AUC=0.58 q=2.1e-01 rg=0.23 coh=0.91 n=31); Alcohol-substance (AUC=0.67 q=3.4e-01 rg=0.25 coh=1.00 n=4); Medication-use (AUC=0.61 q=4.0e-01 rg=0.23 coh=0.98 n=7); Dermatologic (AUC=0.51 q=8.4e-01 rg=0.20 coh=0.95 n=22)	4	True
C0	ambiguous	focal	0.038	1.98	2	0.699	0.00499750124937531	0.127	0.982	Musculoskeletal (AUC=0.70 q=5.0e-03 rg=0.13 coh=0.98 n=81); Psychiatric (AUC=0.66 q=5.0e-03 rg=0.14 coh=0.98 n=42); Genitourinary (AUC=0.57 q=5.0e-01 rg=0.09 coh=0.78 n=43); Medication-use (AUC=0.63 q=5.2e-01 rg=0.07 coh=0.81 n=6); Respiratory (AUC=0.55 q=5.2e-01 rg=0.07 coh=0.69 n=46); Ophthalmic (AUC=0.50 q=1.0e+00 rg=0.08 coh=0.81 n=27); Digestive (AUC=0.50 q=1.0e+00 rg=0.07 coh=0.67 n=53); Endocrine-metabolic (AUC=0.46 q=1.0e+00 rg=0.01 coh=0.34 n=19)	5	True
C1	ambiguous	focal	0.035	1.98	2	0.702	0.00333166749958354	0.289	1	Musculoskeletal (AUC=0.70 q=3.3e-03 rg=0.29 coh=1.00 n=81); Respiratory (AUC=0.67 q=3.3e-03 rg=0.28 coh=1.00 n=46); Infectious (AUC=0.78 q=1.1e-01 rg=0.37 coh=1.00 n=4); Medication-use (AUC=0.68 q=2.0e-01 rg=0.28 coh=1.00 n=6); Psychiatric (AUC=0.57 q=2.0e-01 rg=0.25 coh=0.95 n=42); Alcohol-substance (AUC=0.67 q=3.8e-01 rg=0.31 coh=1.00 n=3); Neurological (AUC=0.55 q=3.8e-01 rg=0.23 coh=0.80 n=26); Endocrine-metabolic (AUC=0.55 q=4.7e-01 rg=0.22 coh=1.00 n=19)	5	False
C2_sub0	ambiguous	focal	0.002	2	2	0.667	0.00499750124937531	-0.282	1	Musculoskeletal (AUC=0.67 q=5.0e-03 rg=-0.28 coh=1.00 n=81); Respiratory (AUC=0.67 q=5.0e-03 rg=-0.28 coh=1.00 n=46); Alcohol-substance (AUC=0.75 q=1.8e-01 rg=-0.39 coh=1.00 n=3); Medication-use (AUC=0.70 q=1.8e-01 rg=-0.30 coh=0.98 n=6); Endocrine-metabolic (AUC=0.61 q=1.8e-01 rg=-0.24 coh=1.00 n=19); Infectious (AUC=0.69 q=2.6e-01 rg=-0.33 coh=1.00 n=4); Psychiatric (AUC=0.55 q=3.1e-01 rg=-0.25 coh=0.96 n=42); Reproductive-perinatal (AUC=0.53 q=6.2e-01 rg=-0.28 coh=1.00 n=23)	5	False
C2_sub1	ambiguous	sharp	0.085	1	1	0.693	0.00999500249875062	-0.229	0.998	Musculoskeletal (AUC=0.69 q=1.0e-02 rg=-0.23 coh=1.00 n=81); Respiratory (AUC=0.61 q=6.0e-02 rg=-0.20 coh=1.00 n=46); Infectious (AUC=0.81 q=8.6e-02 rg=-0.32 coh=1.00 n=4); Medication-use (AUC=0.75 q=8.6e-02 rg=-0.23 coh=0.94 n=6); Alcohol-substance (AUC=0.72 q=2.8e-01 rg=-0.23 coh=1.00 n=3); Digestive (AUC=0.54 q=4.1e-01 rg=-0.19 coh=0.97 n=53); Reproductive-perinatal (AUC=0.54 q=5.5e-01 rg=-0.21 coh=0.95 n=23); Immune-blood (AUC=0.52 q=8.4e-01 rg=-0.17 coh=1.00 n=6)	5	True
C3	Alcohol-substance	focal	0.053	3.58	4	0.962	0.00499750124937531	0.374	1	Alcohol-substance (AUC=0.96 q=5.0e-03 rg=0.37 coh=1.00 n=3); Psychiatric (AUC=0.91 q=5.0e-03 rg=0.30 coh=0.99 n=42); Injury (AUC=0.81 q=5.0e-03 rg=0.18 coh=1.00 n=9); Reproductive-perinatal (AUC=0.66 q=1.8e-02 rg=-0.05 coh=0.46 n=23); Respiratory (AUC=0.58 q=1.0e-01 rg=0.07 coh=0.83 n=46); Infectious (AUC=0.59 q=8.0e-01 rg=0.10 coh=1.00 n=4); Otologic (AUC=0.51 q=1.0e+00 rg=0.05 coh=0.70 n=11); Dermatologic (AUC=0.49 q=1.0e+00 rg=0.07 coh=0.89 n=17)	5	True
C4	Psychiatric	sharp	0.214	1.71	2	0.865	0.00999500249875062	0.5	1	Psychiatric (AUC=0.87 q=1.0e-02 rg=0.50 coh=1.00 n=42); Respiratory (AUC=0.65 q=1.0e-02 rg=0.28 coh=1.00 n=46); Alcohol-substance (AUC=0.77 q=1.5e-01 rg=0.38 coh=1.00 n=3); Infectious (AUC=0.74 q=1.5e-01 rg=0.36 coh=1.00 n=4); Medication-use (AUC=0.70 q=1.5e-01 rg=0.29 coh=1.00 n=6); Neurological (AUC=0.59 q=1.5e-01 rg=0.31 coh=0.97 n=26); Musculoskeletal (AUC=0.56 q=1.5e-01 rg=0.25 coh=1.00 n=81); Endocrine-metabolic (AUC=0.57 q=3.9e-01 rg=0.22 coh=1.00 n=19)	5	True
C5_sub0	Cardiovascular	diffuse	0.009	4.7	5	0.718	0.00499750124937531	0.255	1	Cardiovascular (AUC=0.72 q=5.0e-03 rg=0.25 coh=1.00 n=50); Musculoskeletal (AUC=0.71 q=5.0e-03 rg=0.24 coh=0.98 n=81); Endocrine-metabolic (AUC=0.71 q=1.3e-02 rg=0.25 coh=1.00 n=19); Respiratory (AUC=0.61 q=1.5e-02 rg=0.21 coh=1.00 n=46); Medication-use (AUC=0.77 q=2.9e-02 rg=0.31 coh=1.00 n=6); Infectious (AUC=0.65 q=3.7e-01 rg=0.20 coh=1.00 n=4); Dermatologic (AUC=0.53 q=7.2e-01 rg=0.19 coh=1.00 n=17); Reproductive-perinatal (AUC=0.48 q=1.0e+00 rg=0.17 coh=0.88 n=23)	5	True
C5_sub1	Endocrine-metabolic	focal	0.007	2.85	3	0.734	0.00499750124937531	0.336	1	Endocrine-metabolic (AUC=0.73 q=5.0e-03 rg=0.34 coh=1.00 n=19); Cardiovascular (AUC=0.73 q=5.0e-03 rg=0.31 coh=1.00 n=50); Musculoskeletal (AUC=0.63 q=6.7e-03 rg=0.23 coh=0.99 n=81); Infectious (AUC=0.74 q=1.4e-01 rg=0.32 coh=1.00 n=4); Medication-use (AUC=0.69 q=1.4e-01 rg=0.31 coh=1.00 n=6); Respiratory (AUC=0.57 q=1.4e-01 rg=0.22 coh=1.00 n=46); Neurological (AUC=0.58 q=2.2e-01 rg=0.26 coh=0.95 n=26); Reproductive-perinatal (AUC=0.55 q=4.4e-01 rg=0.22 coh=0.96 n=23)	5	False
C6_sub0	Respiratory	focal	0.066	2.94	3	0.731	0.00499750124937531	0.464	1	Respiratory (AUC=0.73 q=5.0e-03 rg=0.46 coh=1.00 n=46); Musculoskeletal (AUC=0.66 q=5.0e-03 rg=0.38 coh=1.00 n=81); Endocrine-metabolic (AUC=0.68 q=2.2e-02 rg=0.40 coh=1.00 n=19); Medication-use (AUC=0.76 q=6.0e-02 rg=0.46 coh=1.00 n=6); Psychiatric (AUC=0.59 q=1.1e-01 rg=0.40 coh=0.99 n=42); Infectious (AUC=0.72 q=1.9e-01 rg=0.47 coh=1.00 n=4); Neurological (AUC=0.56 q=4.5e-01 rg=0.37 coh=0.97 n=26); Cardiovascular (AUC=0.53 q=5.0e-01 rg=0.31 coh=1.00 n=50)	5	True
C6_sub1	Psychiatric	sharp	0.246	1	1	0.843	0.00999500249875062	0.433	1	Psychiatric (AUC=0.84 q=1.0e-02 rg=0.43 coh=1.00 n=42); Musculoskeletal (AUC=0.60 q=2.0e-02 rg=0.20 coh=1.00 n=81); Alcohol-substance (AUC=0.86 q=6.0e-02 rg=0.36 coh=1.00 n=3); Respiratory (AUC=0.59 q=1.1e-01 rg=0.23 coh=1.00 n=46); Medication-use (AUC=0.63 q=4.9e-01 rg=0.22 coh=1.00 n=6); Endocrine-metabolic (AUC=0.56 q=4.9e-01 rg=0.17 coh=1.00 n=19); Digestive (AUC=0.54 q=4.9e-01 rg=0.18 coh=1.00 n=53); Neurological (AUC=0.53 q=7.0e-01 rg=0.22 coh=0.97 n=26)	5	True
noise_re0	Endocrine-metabolic	focal	0.003	2.72	3	0.794	0.00333166749958354	0.344	1	Endocrine-metabolic (AUC=0.79 q=3.3e-03 rg=0.34 coh=1.00 n=19); Cardiovascular (AUC=0.79 q=3.3e-03 rg=0.35 coh=1.00 n=50); Musculoskeletal (AUC=0.63 q=3.3e-03 rg=0.18 coh=0.98 n=81); Infectious (AUC=0.76 q=1.4e-01 rg=0.26 coh=1.00 n=4); Medication-use (AUC=0.70 q=1.6e-01 rg=0.24 coh=1.00 n=6); Respiratory (AUC=0.57 q=1.6e-01 rg=0.18 coh=1.00 n=46); Neurological (AUC=0.53 q=6.6e-01 rg=0.21 coh=0.98 n=26); Reproductive-perinatal (AUC=0.51 q=8.9e-01 rg=0.16 coh=0.92 n=23)	5	False
noise_re1	ambiguous	focal	0.001	2	2	0.709	0.00499750124937531	0.435	1	Musculoskeletal (AUC=0.71 q=5.0e-03 rg=0.44 coh=1.00 n=81); Respiratory (AUC=0.71 q=5.0e-03 rg=0.43 coh=1.00 n=46); Medication-use (AUC=0.73 q=1.3e-01 rg=0.42 coh=1.00 n=6); Neurological (AUC=0.59 q=2.7e-01 rg=0.41 coh=0.98 n=26); Infectious (AUC=0.66 q=4.5e-01 rg=0.41 coh=1.00 n=4); Endocrine-metabolic (AUC=0.56 q=4.6e-01 rg=0.32 coh=1.00 n=19); Psychiatric (AUC=0.54 q=4.6e-01 rg=0.41 coh=0.97 n=42); Alcohol-substance (AUC=0.54 q=8.4e-01 rg=0.40 coh=1.00 n=3)	5	False
noise_re2	Psychiatric	focal	0.033	1.99	2	0.765	0.00499750124937531	0.271	1	Psychiatric (AUC=0.77 q=5.0e-03 rg=0.27 coh=1.00 n=42); Respiratory (AUC=0.73 q=5.0e-03 rg=0.21 coh=0.99 n=46); Medication-use (AUC=0.75 q=6.5e-02 rg=0.20 coh=1.00 n=6); Musculoskeletal (AUC=0.57 q=1.1e-01 rg=0.17 coh=0.98 n=81); Alcohol-substance (AUC=0.80 q=1.4e-01 rg=0.34 coh=1.00 n=3); Infectious (AUC=0.68 q=3.3e-01 rg=0.21 coh=1.00 n=4); Endocrine-metabolic (AUC=0.55 q=6.0e-01 rg=0.14 coh=0.94 n=19); Reproductive-perinatal (AUC=0.50 q=9.8e-01 rg=0.20 coh=0.98 n=23)	5	False
noise_re3	ambiguous	focal	0.066	1.94	2	0.721	0.00499750124937531	0.297	0.999	Musculoskeletal (AUC=0.72 q=5.0e-03 rg=0.30 coh=1.00 n=81); Respiratory (AUC=0.66 q=6.7e-03 rg=0.27 coh=1.00 n=46); Endocrine-metabolic (AUC=0.63 q=1.2e-01 rg=0.25 coh=1.00 n=19); Infectious (AUC=0.78 q=1.3e-01 rg=0.35 coh=1.00 n=4); Medication-use (AUC=0.69 q=1.9e-01 rg=0.29 coh=1.00 n=6); Cardiovascular (AUC=0.56 q=2.1e-01 rg=0.21 coh=1.00 n=50); Alcohol-substance (AUC=0.57 q=7.5e-01 rg=0.26 coh=1.00 n=3); Neurological (AUC=0.52 q=8.1e-01 rg=0.21 coh=0.83 n=26)	5	False
noise_re4	Respiratory	sharp	0.174	1.84	2	0.886	0.00499750124937531	0.387	1	Respiratory (AUC=0.89 q=5.0e-03 rg=0.39 coh=1.00 n=46); Psychiatric (AUC=0.71 q=5.0e-03 rg=0.30 coh=1.00 n=42); Musculoskeletal (AUC=0.59 q=2.0e-02 rg=0.21 coh=1.00 n=81); Infectious (AUC=0.76 q=1.6e-01 rg=0.28 coh=1.00 n=4); Medication-use (AUC=0.66 q=2.3e-01 rg=0.24 coh=0.98 n=6); Neurological (AUC=0.59 q=2.3e-01 rg=0.23 coh=0.92 n=26); Alcohol-substance (AUC=0.64 q=4.9e-01 rg=0.25 coh=1.00 n=3); Endocrine-metabolic (AUC=0.52 q=7.2e-01 rg=0.17 coh=1.00 n=19)	5	True
